0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"(264, 302)",,,,,,,,,,,,,,"(250, 292)","(292, 281)","(222, 302)","(320, 313)","(13, 459)"
"(264, 302)",,,,,,,,,,,,,,"(250, 292)","(292, 292)",,"(320, 313)","(431, 448)"
"(264, 313)",,,,,,,,,,,,,,"(250, 292)","(292, 292)","(222, 302)","(320, 313)","(431, 469)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)",,"(347, 323)","(626, 0)"
"(292, 323)",,,,,,,,,,,,,,"(278, 302)","(320, 302)","(250, 313)","(347, 323)","(0, 0)"
"(292, 313)",,,,,,,,,,,,,,"(264, 302)","(306, 302)",,"(347, 323)","(612, 459)"
"(278, 323)",,,,,,,,,,,,,,"(264, 302)","(306, 292)",,"(333, 323)","(626, 0)"
"(278, 323)",,,,,,,,,,,,,,"(264, 302)","(306, 302)","(236, 313)","(333, 323)","(13, 459)"
"(292, 323)",,,,,,,,,,,,,,"(264, 302)","(306, 302)",,"(333, 313)","(612, 448)"
"(278, 313)",,,,,,,,,,,,,,"(264, 292)","(306, 292)","(236, 302)","(333, 323)","(13, 459)"
"(292, 313)",,,,,,,,,,,,,,"(264, 292)","(306, 292)","(236, 313)","(347, 313)","(626, 0)"
"(292, 313)",,,,,,,,,,,,,,"(264, 292)","(306, 292)","(236, 313)","(347, 323)","(0, 469)"
"(292, 313)",,,,,,,,,,,,,,"(264, 292)","(306, 292)",,"(347, 323)","(13, 459)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 323)","(0, 0)"
"(292, 313)",,,,,,,,,,,,,,"(264, 292)","(320, 302)",,"(347, 323)","(626, 0)"
"(292, 313)",,,,,,,,,,,,,,"(264, 292)","(320, 302)",,"(347, 323)","(445, 469)"
"(292, 313)",,,,,,,,,,,,,,"(264, 302)","(320, 302)","(250, 323)","(347, 323)","(13, 448)"
"(292, 313)",,,,,,,,,,,,,,"(264, 302)","(320, 302)","(236, 323)","(347, 323)","(13, 459)"
"(292, 313)",,,,,,,,,,,,,,"(264, 292)","(320, 292)","(250, 313)","(347, 323)","(13, 459)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)",,"(347, 323)","(0, 0)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)",,"(347, 323)","(13, 459)"
"(292, 313)",,,,,,,,,,,,,,"(264, 292)","(320, 292)",,"(347, 323)","(626, 0)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)",,"(347, 323)","(626, 0)"
"(292, 313)",,,,,,,,,,,,,,"(264, 292)","(320, 292)",,"(347, 323)","(626, 0)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)",,"(347, 323)","(0, 0)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(306, 292)",,"(347, 323)","(13, 448)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(236, 323)","(347, 323)","(612, 459)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 323)","(13, 459)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 323)","(13, 459)"
"(292, 313)","(278, 438)",,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 323)","(626, 0)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)",,"(347, 323)","(0, 0)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 313)","(0, 0)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 323)","(0, 0)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 323)","(0, 0)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 323)","(626, 0)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 323)","(626, 0)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 323)","(13, 459)"
"(292, 313)",,,,,,,,,,,,,,"(264, 292)","(320, 292)","(250, 313)","(347, 323)","(626, 0)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 323)","(13, 459)"
"(292, 313)",,,,,,,,,,,,,,"(264, 292)","(320, 292)",,"(347, 323)","(0, 0)"
"(292, 313)",,,,,,,,,,,,,,"(264, 292)","(320, 292)",,"(347, 323)","(0, 0)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 323)","(0, 469)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 323)","(13, 459)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 323)","(13, 459)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 313)","(13, 459)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 323)","(13, 448)"
"(306, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 323)","(13, 459)"
"(306, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 323)","(13, 459)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 323)","(0, 0)"
"(292, 313)",,,,,,,,,,,,,,"(278, 292)","(320, 292)","(250, 313)","(347, 323)","(13, 459)"
